u10,v10,d2m,t2m,evabs,sp,sshf,tp,swvli,swvl1,swvl2
0.028682,-1.2808,283.25,296.16,-3.4243e-06,96230,19021,0,0.23556,0.23555,0.30545
1.047,1.6389,293.24,296.87,-1.5828e-05,97801,1.916e+05,1.3035e-05,0.44408,0.44444,0.45207
-1.5557,-1.1708,289.85,302.71,-0.00051121,95310,-2.0194e+05,0,0.32976,0.32562,0.34424
0.96841,0.98852,290.45,300.05,-0.0020633,95915,-4.4862e+06,0,0.18608,0.18637,0.24036
0.65682,1.7553,294.94,296.15,-5.4789e-06,97407,1.3961e+05,0.00082121,0.47964,0.48216,0.47901
-0.23077,3.675,284.7,308.3,-6.217e-05,1.0036e+05,-4.6494e+06,0,0.02481,0.024829,0.11897
1.6859,3.1627,292.18,308.02,0,99352,-3.4608e+06,0.0010363,0.035051,0.033739,0.1467
-0.12401,-0.67334,295.69,296.35,-8.0662e-06,99873,1.4683e+05,6.5176e-05,0.37708,0.37614,0.3716
-0.14056,2.2167,294.98,297.75,-3.782e-05,95046,1.9955e+05,0,0.38747,0.38259,0.34344
0.7371,1.8229,294.56,303.02,-0.0020329,97155,-1.7357e+06,3.2588e-05,0.35836,0.35298,0.37662
3.3308,2.1831,295.38,297.32,-2.5112e-06,97121,1.1506e+05,0,0.14273,0.14234,0.064882
0.28854,0.96006,293.2,294.08,-4.5658e-07,95326,24797,0,0.39903,0.3976,0.39061
1.1153,-1.2137,284.17,293.87,-8.4467e-06,95976,1.9882e+05,0,0.1093,0.10935,0.15784
0.4433,-0.074356,291.85,296.74,-0.00035758,89647,-7.6879e+05,0.00046926,0.48711,0.4854,0.4926
2.5127,1.6907,296.75,300.21,-0.00017494,99595,-1.0215e+06,0.012012,0.48592,0.48801,0.48
2.7291,-0.67461,294.53,300.75,-0.0015154,94888,-2.9199e+06,0.00054748,0.34402,0.34506,0.35404
2.2491,-0.45329,286.19,294.91,-7.6096e-08,90282,1.0784e+05,0,0.13089,0.13087,0.14278
-2.8058,-1.2995,279.95,301.19,0,99906,1.3022e+05,0,0.012227,0.012302,0.15462
1.1066,0.61639,294.51,303.47,-0.0015855,98025,-4.1728e+06,0.00016946,0.35655,0.35521,0.33921
-1.8603,0.94392,294.85,298.64,-0.00014032,96599,-9141.2,0,0.41702,0.41073,0.40773
3.5054,2.5595,293.65,302.76,-0.00095219,98156,-3.7792e+06,0.00017597,0.081635,0.081222,0.054042
-0.14139,1.9227,295.79,296.9,-3.5765e-06,96504,68123,0,0.37946,0.3798,0.39363
0.00095763,2.9206,294.66,299.37,-0.0011751,94795,-1.9595e+06,0.0066349,0.41737,0.43388,0.40475
2.1382,1.3577,295.97,298.66,-1.6893e-05,98376,4.5517e+05,0,0.22772,0.22656,0.25551
0.83351,1.2753,293.36,296.23,-1.1414e-05,98274,1.6994e+05,0,0.25442,0.25441,0.26095
-3.299,0.80883,277.38,312.51,-0.00011064,98828,-4.9945e+06,0,0.051906,0.051897,0.05957
-1.7179,1.0484,286.92,298.08,-0.0018016,95831,-4.9346e+06,0,0.30191,0.28418,0.34142
1.9524,-0.049717,295.63,298.87,-6.0116e-06,1.006e+05,1.0351e+05,0,0.1613,0.16115,0.17046
0.51241,-0.55949,296.57,301.79,-0.002545,97652,-4.0377e+06,0.002594,0.316,0.3162,0.30768
0.97213,-0.21879,293.41,300.72,-0.0012447,92866,-1.3884e+06,0.00047578,0.38349,0.38148,0.38177
2.3285,3.4053,295.15,299.43,-0.00011102,97965,-68353,6.5176e-06,0.23255,0.22757,0.23198
-0.13021,1.3428,295.79,297.25,-0.001176,98135,-2.7156e+06,0.0029655,0.2327,0.24811,0.2316
-1.3244,-1.3403,282.02,298.58,-2.9069e-05,97706,5.2954e+05,0,0.10746,0.10744,0.15276
1.3309,0.084098,293.52,296.48,-2.2829e-06,92369,-1.7017e+05,0.0048426,0.43073,0.42442,0.42055
0.28813,1.2387,278.19,300.66,0,95256,2.7176e+05,0,0.018111,0.018101,0.030169
-2.8695,2.2748,291.26,301.99,-1.0882e-05,98225,1.2878e+05,0,0.24165,0.24114,0.27927
0.66096,1.1508,294.35,296.05,-0.0013617,98694,-1.228e+06,0.0031871,0.26612,0.26494,0.26248
0.36675,2.3454,296.23,304.36,-0.001143,97967,-1.7805e+06,0.00018249,0.3146,0.30835,0.39135
2.2748,-0.6402,292.39,301.22,-1.4458e-06,98185,1.9088e+05,0,0.061219,0.060685,0.059373
1.5655,1.198,296.03,302.23,-0.0011627,96402,-7.2185e+05,7.1693e-05,0.43584,0.42786,0.4335
-1.5363,0.33686,295.26,304.87,-0.0023001,95884,-2.4845e+06,0.00044319,0.38963,0.38591,0.39315
-1.5888,0.038219,288.27,295.98,-0.0017716,89152,-4.6667e+06,0.00038454,0.30775,0.3078,0.35271
0.36841,1.4299,294.7,296.21,-2.4351e-06,99520,1.3528e+05,0,0.25704,0.25661,0.22171
-0.033387,1.3369,293.09,305.18,-0.002028,95769,-3.2283e+06,7.1693e-05,0.36487,0.36348,0.39665
-0.75215,1.5459,289.84,301.69,-0.0017249,94892,-3.7612e+06,3.2588e-05,0.050613,0.050632,0.11122
0.59434,1.0238,295.12,295.46,-9.8925e-07,97222,-90016,0.0080231,0.4249,0.42281,0.42688
1.4215,2.6946,294.29,302.17,-0.001064,97829,-2.5596e+06,5.2141e-05,0.17335,0.1734,0.2419
-1.463,-3.4741,274.92,297,-1.1567e-05,94929,-5.7794e+06,0,0.12813,0.12813,0.14895
1.0512,1.7523,296.25,297.76,-9.8925e-07,97091,65235,0,0.34999,0.34829,0.31514
0.90468,0.78631,295.42,295.59,0,97698,3.3458e+05,0,0.45747,0.45622,0.4509
2.3811,0.11553,297.7,300.28,0,99479,-1.2122e+06,0,0.1356,0.10518,0.20012
-0.11159,-3.6288,275.42,303.59,-1.6056e-05,97067,-4.4681e+06,0,0.1698,0.16973,0.25775
0.41723,1.8309,295.7,297.7,-0.0010364,98175,-5.5086e+06,0.0045688,0.33424,0.33387,0.27603
-0.4869,1.7791,289.03,292.94,-1.6208e-05,98192,1.0712e+05,0,0.052121,0.05214,0.11067
3.7321,2.079,294.34,296.7,-1.5752e-05,96973,3.9162e+05,0,0.22786,0.22609,0.22529
-2.4408,-0.89637,281.49,299.27,-0.0014273,96943,-4.2009e+06,0,0.11038,0.1104,0.15676
2.2727,0.10237,293.6,299.94,-7.6096e-08,91915,-2.366e+05,0,0.11443,0.1026,0.013548
-1.269,0.28206,294.69,296.29,-1.0425e-05,95411,-476.01,0.00019553,0.35234,0.34923,0.34608
-0.41697,-1.0514,279.7,306.41,-0.0018214,95656,-4.523e+06,0,0.13266,0.13266,0.19658
-0.92718,-1.0353,284.78,304.08,-6.8334e-05,1.0021e+05,-2.4671e+05,0,0.13025,0.13021,0.15295
0.93117,1.2986,295.67,296.69,-2.2829e-07,97778,63069,0,0.20508,0.20404,0.15779
1.2572,0.97493,290.95,300.23,-0.0013977,92525,-1.4396e+06,0,0.37297,0.3678,0.37091
1.8788,0.98555,295.96,302.3,-0.0015097,96938,-1.6721e+06,0.0001499,0.44859,0.4473,0.42745
-2.4537,0.67331,270.9,310.94,-1.2175e-06,97413,-2.2996e+06,0,0.010119,0.010044,0.12622
